height,miner_address,reward_bina,total_mined_bina,timestamp_unix
1,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,50,1783168902
2,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,100,1783168920
3,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,150,1783168923
4,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,200,1783168928
5,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,250,1783168975
6,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,300,1783168983
7,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,350,1783168991
8,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,400,1783168998
9,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,450,1783169008
10,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,500,1783169050
11,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,550,1783169051
12,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,600,1783169057
13,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,650,1783169075
14,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,700,1783169082
15,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,750,1783169083
16,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,800,1783169085
17,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,850,1783169107
18,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,900,1783169137
19,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,950,1783169150
20,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,1000,1783169158
21,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,1050,1783169170
22,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,1100,1783169203
23,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,1150,1783169212
24,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,1200,1783169214
25,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,1250,1783169231
26,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,1300,1783169247
27,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,1350,1783169255
28,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,1400,1783169284
29,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,1450,1783169300
30,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,1500,1783169343
31,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,1550,1783169356
32,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,1600,1783169371
33,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,1650,1783169376
34,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,1700,1783169408
35,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,1750,1783169463
36,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,1800,1783169468
37,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,1850,1783169470
38,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,1900,1783169472
39,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,1950,1783169479
40,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,2000,1783169485
